,Word,Title Frequency
0,macron,522
1,french,473
2,france,251
3,pen,176
4,emmanuel,129
5,françois,109
6,marine,101
7,hollande,92
8,fillon,78
9,trump,73
10,election,72
11,minister,69
12,sarkozy,68
13,loop,64
14,europe,59
15,paris,56
16,brexit,52
17,yellow,49
18,valls,41
19,european,40
20,poll,40
21,presidential,39
22,nicolas,38
23,party,37
24,manuel,36
25,national,34
26,police,34
27,calls,34
28,campaign,32
29,coronavirus,31
30,jackets,31
31,report,30
32,parliament,30
33,merkel,29
34,reform,29
35,—,28
36,government,26
37,german,26
38,debate,25
39,vote,25
40,left,24
41,week,23
42,president,23
43,labor,23
44,protests,21
45,cartoonists,21
46,events,21
47,attack,21
48,jean,21
49,leader,20
50,chief,20
51,germany,19
52,face,19
53,faces,18
54,plan,18
55,protest,18
56,jacket,18
57,big,18
58,presidency,18
59,juppé,18
60,terror,17
61,italy,17
62,theresa,17
63,probe,16
64,anti,16
65,ban,16
66,political,16
67,cabinet,16
68,€,16
69,primary,16
70,burkini,16
71,mayor,15
72,takes,15
73,takeaways,15
74,socialist,15
75,ahead,14
76,bid,14
77,media,14
78,scandal,14
79,elections,14
80,deal,14
81,security,14
82,trial,14
83,win,14
84,russia,13
85,law,13
86,britain,13
87,change,13
88,leaders,13
89,man,13
90,violent,13
91,politics,13
92,war,13
93,court,13
94,marie,13
95,fight,12
96,day,12
97,prosecutor,12
98,attacks,12
99,lead,12
100,june,12
101,mélenchon,12
102,brussels,12
103,talks,12
104,alain,12
105,parliamentary,12
106,foreign,11
107,putin,11
108,climate,11
109,islam,11
110,year,11
111,aide,11
112,migration,11
113,meet,11
114,race,11
115,donald,11
116,brigitte,11
117,migrants,11
118,socialists,11
119,battle,10
120,politicians,10
121,amid,10
122,investigation,10
123,free,10
124,visit,10
125,tax,10
126,problem,10
127,violence,10
128,reforms,10
129,stand,10
130,voters,10
131,moment,10
132,september,10
133,des,10
134,euro,10
135,april,10
136,lockdown,9
137,long,9
138,tough,9
139,green,9
140,support,9
141,watch,9
142,ambassador,9
143,trip,9
144,hits,9
145,…,9
146,strikes,9
147,union,9
148,wife,9
149,victory,9
150,conservative,9
151,conservatives,8
152,fights,8
153,poland,8
154,corruption,8
155,news,8
156,return,8
157,steps,8
158,mep,8
159,ally,8
160,migrant,8
161,berlin,8
162,interior,8
163,nice,8
164,hard,8
165,power,8
166,ministers,8
167,fraud,8
168,majority,8
169,italian,8
170,russian,8
171,october,8
172,protesters,8
173,spain,8
174,popularity,8
175,quits,8
176,jobs,8
177,fake,8
178,quit,8
179,movement,8
180,finance,8
181,state,8
182,maire,8
183,calais,8
184,house,8
185,push,7
186,health,7
187,warns,7
188,sparks,7
189,camp,7
190,policy,7
191,seeks,7
192,military,7
193,ready,7
194,rally,7
195,time,7
196,candidate,7
197,wins,7
198,pension,7
199,funds,7
200,march,7
201,luc,7
202,center,7
203,set,7
204,papers,7
205,summit,7
206,talk,7
207,test,7
208,à,7
209,death,6
210,vaccine,6
211,barnier,6
212,dies,6
213,amazon,6
214,future,6
215,slams,6
216,reports,6
217,starts,6
218,radical,6
219,mps,6
220,vows,6
221,lesson,6
222,plans,6
223,allegations,6
224,risks,6
225,meeting,6
226,announces,6
227,things,6
228,launches,6
229,bad,6
230,defense,6
231,democracy,6
232,knife,6
233,summer,6
234,low,6
235,prime,6
236,case,6
237,post,6
238,denies,6
239,philippe,6
240,round,6
241,market,6
242,populism,6
243,orders,6
244,goulard,6
245,charged,6
246,promises,6
247,johnson,6
248,bannon,6
249,candidates,6
250,clash,6
251,vision,6
252,cancels,6
