,Word,Title Frequency,Word Frequency,,Class
0,macron,522,7103,1,1
1,french,473,6187,2,
2,france,251,4890,3,
3,pen,176,2694,8,1
4,emmanuel,129,1359,24,1
5,françois,109,1026,34,1
6,marine,101,907,41,1
7,hollande,92,1663,14,1
8,fillon,78,1443,22,1
9,trump,73,1144,30,2
10,election,72,1970,12,4
11,minister,69,3003,6,
12,sarkozy,68,1268,27,1
13,loop,64,5,2299,
14,europe,59,1647,15,4
15,paris,56,2261,9,3
16,brexit,52,729,54,4
17,yellow,49,496,97,4
18,valls,41,744,52,1
19,european,40,2697,7,
20,poll,40,433,119,4
21,presidential,39,1523,20,4
22,nicolas,38,427,122,1
23,party,37,3368,5,4
24,manuel,36,217,297,1
25,national,34,1982,11,
26,police,34,784,48,4
27,calls,34,187,357,4
28,campaign,32,1450,21,4
29,coronavirus,31,238,266,4
30,jackets,31,303,194,4
31,report,30,262,235,
32,parliament,30,1275,26,
33,merkel,29,626,63,2
34,reform,29,714,55,
35,—,28,0,2815,
36,government,26,2228,10,
37,german,26,760,50,2
38,debate,25,572,79,4
39,vote,25,960,38,4
40,left,24,1551,18,4
41,week,23,897,43,
42,president,23,4233,4,
43,labor,23,471,105,4
44,protests,21,480,101,
45,cartoonists,21,3,2442,4
46,events,21,77,789,
47,attack,21,366,147,4
48,jean,21,793,47,
49,leader,20,1071,32,
50,chief,20,400,130,
51,germany,19,738,53,2
52,face,19,391,135,
53,faces,18,161,417,
54,plan,18,367,146,
55,protest,18,246,250,
56,jacket,18,186,361,
57,big,18,445,113,
58,presidency,18,560,83,
59,juppé,18,574,78,1
60,terror,17,171,397,4
61,italy,17,281,211,2
62,theresa,17,147,457,2
63,probe,16,87,707,
64,anti,16,622,65,
65,ban,16,178,377,4
66,political,16,1887,13,
67,cabinet,16,328,169,
68,€,16,563,82,
69,primary,16,592,71,
70,burkini,16,87,707,4
71,mayor,15,323,174,4
72,takes,15,100,632,
73,takeaways,15,15,1794,
74,socialist,15,1128,31,4
75,ahead,14,489,99,
76,bid,14,209,312,
77,media,14,645,61,4
78,scandal,14,199,331,4
79,elections,14,540,86,4
80,deal,14,438,115,
81,security,14,583,74,4
82,trial,14,130,506,4
83,win,14,480,101,
84,russia,13,400,130,2
85,law,13,508,95,
86,britain,13,384,141,2
87,change,13,530,92,
88,leaders,13,591,72,
89,man,13,387,138,
90,violent,13,147,457,4
91,politics,13,539,87,
92,war,13,365,149,4
93,court,13,278,216,4
94,marie,13,206,320,
95,fight,12,306,192,4
96,day,12,604,68,
97,prosecutor,12,133,495,4
98,attacks,12,356,152,4
99,lead,12,327,171,
100,june,12,331,168,
101,mélenchon,12,417,126,1
102,brussels,12,464,109,2
103,talks,12,283,210,
104,alain,12,240,263,1
105,parliamentary,12,473,104,
106,foreign,11,632,62,2
107,putin,11,277,217,2
108,climate,11,245,253,4
109,islam,11,213,303,4
110,year,11,1534,19,
111,aide,11,237,267,
112,migration,11,167,401,4
113,meet,11,196,338,
114,race,11,279,214,4
115,donald,11,347,157,2
116,brigitte,11,76,799,1
117,migrants,11,215,301,4
118,socialists,11,248,248,4
119,battle,10,147,457,4
120,politicians,10,363,150,
121,amid,10,110,596,
122,investigation,10,339,161,4
123,free,10,277,217,4
124,visit,10,302,196,
125,tax,10,319,181,4
126,problem,10,276,221,
127,violence,10,253,244,4
128,reforms,10,435,117,
129,stand,10,159,427,
130,voters,10,900,42,
131,moment,10,143,468,
132,september,10,240,263,
133,des,10,258,240,
134,euro,10,218,295,
135,april,10,287,206,
136,lockdown,9,128,515,4
137,long,9,678,59,
138,tough,9,141,476,
139,green,9,201,328,
140,support,9,852,44,
141,watch,9,61,941,
142,ambassador,9,111,589,
143,trip,9,118,562,
144,hits,9,8,2109,
145,…,9,398,132,
146,strikes,9,142,474,4
147,union,9,691,56,4
148,wife,9,206,320,
149,victory,9,313,187,
150,conservative,9,952,39,4
151,conservatives,8,184,367,4
152,fights,8,17,1729,
153,poland,8,143,468,2
154,corruption,8,74,817,4
155,news,8,405,129,
156,return,8,165,408,
157,steps,8,70,862,
158,mep,8,197,335,
159,ally,8,126,524,
160,migrant,8,71,848,4
161,berlin,8,274,222,2
162,interior,8,284,209,
163,nice,8,147,457,3
164,hard,8,390,136,
165,power,8,536,89,
166,ministers,8,302,196,
167,fraud,8,76,799,4
168,majority,8,380,144,
169,italian,8,208,314,2
170,russian,8,321,179,2
171,october,8,184,367,
172,protesters,8,243,259,4
173,spain,8,149,451,2
174,popularity,8,125,528,
175,quits,8,2,2541,
176,jobs,8,207,315,
177,fake,8,91,683,
178,quit,8,65,912,
179,movement,8,767,49,
180,finance,8,345,158,4
181,state,8,808,46,
182,maire,8,250,245,1
183,calais,8,111,589,3
184,house,8,216,299,
185,push,7,180,374,
186,health,7,340,160,4
187,warns,7,14,1834,
188,sparks,7,2,2541,
189,camp,7,193,344,4
190,policy,7,618,66,
191,seeks,7,29,1397,
192,military,7,269,226,4
193,ready,7,177,381,
194,rally,7,336,163,
195,time,7,1276,25,
196,candidate,7,1164,28,
197,wins,7,75,809,
198,pension,7,129,511,
199,funds,7,206,320,
200,march,7,277,217,
201,luc,7,193,344,
202,center,7,565,81,
203,set,7,390,136,
204,papers,7,187,357,
205,summit,7,236,270,4
206,talk,7,172,396,
207,test,7,90,686,
208,à,7,236,270,
209,death,6,132,497,
210,vaccine,6,84,728,4
211,barnier,6,122,539,1
212,dies,6,5,2299,
213,amazon,6,168,400,4
214,future,6,333,165,4
215,slams,6,0,2815,
216,reports,6,119,554,
217,starts,6,40,1194,
218,radical,6,215,301,
219,mps,6,261,237,
220,vows,6,4,2365,
221,lesson,6,26,1475,
222,plans,6,379,145,
223,allegations,6,227,284,
224,risks,6,80,760,
225,meeting,6,506,96,
226,announces,6,6,2234,
227,things,6,279,214,
228,launches,6,3,2442,
229,bad,6,126,524,
230,defense,6,385,140,4
231,democracy,6,187,357,4
232,knife,6,35,1278,4
233,summer,6,156,432,
234,low,6,157,431,
235,prime,6,1415,23,
236,case,6,423,123,
237,post,6,245,253,
238,denies,6,26,1475,
239,philippe,6,494,98,1
240,round,6,916,40,
241,market,6,267,229,4
242,populism,6,75,809,4
243,orders,6,38,1230,
244,goulard,6,121,545,
245,charged,6,67,893,
246,promises,6,66,902,
247,johnson,6,130,506,2
248,bannon,6,68,882,2
249,candidates,6,567,80,
250,clash,6,35,1278,
251,vision,6,146,462,
252,cancels,6,0,2815,
253,belgian,6,72,840,2
254,emergency,6,119,554,
255,hit,6,154,440,
256,army,6,69,871,
257,coalition,6,227,284,
258,spat,6,33,1315,
259,row,6,35,1278,
260,catalonia,6,61,941,2
261,marion,6,151,447,1
262,syria,6,182,371,2
263,press,6,477,103,
264,boris,6,66,902,2
265,franco,6,134,493,2
266,offensive,6,36,1258,
267,november,6,353,154,
268,refugee,6,76,799,4
269,runoff,6,166,403,
270,wing,6,530,92,
271,fall,5,140,480,
272,border,5,160,423,
273,sets,5,21,1602,
274,fears,5,70,862,
275,environment,5,119,554,4
276,closes,5,3,2442,
277,school,5,200,329,
278,white,5,136,490,4
279,legal,5,232,278,
280,polish,5,81,753,2
281,bans,5,25,1494,
282,group,5,669,60,
283,city,5,328,169,
284,pressure,5,150,449,
285,accused,5,308,191,
286,social,5,608,67,4
287,allies,5,248,248,
288,reelection,5,88,702,
289,response,5,237,267,
290,people,5,1614,16,
291,protect,5,115,574,
292,eyes,5,63,929,
293,work,5,687,57,
294,opens,5,12,1911,
295,ties,5,123,537,
296,giscard,5,90,686,1
