,Word,Title Frequency,Word Frequency
0,macron,522,7103
1,french,473,6187
2,france,251,4890
3,pen,176,2694
4,emmanuel,129,1359
5,françois,109,1026
6,marine,101,907
7,hollande,92,1663
8,fillon,78,1443
9,trump,73,1144
10,election,72,1970
11,minister,69,3003
12,sarkozy,68,1268
13,loop,64,5
14,europe,59,1647
15,paris,56,2261
16,brexit,52,729
17,yellow,49,496
18,valls,41,744
19,european,40,2697
20,poll,40,433
21,presidential,39,1523
22,nicolas,38,427
23,party,37,3368
24,manuel,36,217
25,national,34,1982
26,police,34,784
27,calls,34,187
28,campaign,32,1450
29,coronavirus,31,238
30,jackets,31,303
31,report,30,262
32,parliament,30,1275
33,merkel,29,626
34,reform,29,714
35,—,28,0
36,government,26,2228
37,german,26,760
38,debate,25,572
39,vote,25,960
40,left,24,1551
41,week,23,897
42,president,23,4233
43,labor,23,471
44,protests,21,480
45,cartoonists,21,3
46,events,21,77
47,attack,21,366
48,jean,21,793
49,leader,20,1071
50,chief,20,400
51,germany,19,738
52,face,19,391
53,faces,18,161
54,plan,18,367
55,protest,18,246
56,jacket,18,186
57,big,18,445
58,presidency,18,560
59,juppé,18,574
60,terror,17,171
61,italy,17,281
62,theresa,17,147
63,probe,16,87
64,anti,16,622
65,ban,16,178
66,political,16,1887
67,cabinet,16,328
68,€,16,563
69,primary,16,592
70,burkini,16,87
71,mayor,15,323
72,takes,15,100
73,takeaways,15,15
74,socialist,15,1128
75,ahead,14,489
76,bid,14,209
77,media,14,645
78,scandal,14,199
79,elections,14,540
80,deal,14,438
81,security,14,583
82,trial,14,130
83,win,14,480
84,russia,13,400
85,law,13,508
86,britain,13,384
87,change,13,530
88,leaders,13,591
89,man,13,387
90,violent,13,147
91,politics,13,539
92,war,13,365
93,court,13,278
94,marie,13,206
95,fight,12,306
96,day,12,604
97,prosecutor,12,133
98,attacks,12,356
99,lead,12,327
100,june,12,331
101,mélenchon,12,417
102,brussels,12,464
103,talks,12,283
104,alain,12,240
105,parliamentary,12,473
106,foreign,11,632
107,putin,11,277
108,climate,11,245
109,islam,11,213
110,year,11,1534
111,aide,11,237
112,migration,11,167
113,meet,11,196
114,race,11,279
115,donald,11,347
116,brigitte,11,76
117,migrants,11,215
118,socialists,11,248
119,battle,10,147
120,politicians,10,363
121,amid,10,110
122,investigation,10,339
123,free,10,277
124,visit,10,302
125,tax,10,319
126,problem,10,276
127,violence,10,253
128,reforms,10,435
129,stand,10,159
130,voters,10,900
131,moment,10,143
132,september,10,240
133,des,10,258
134,euro,10,218
135,april,10,287
136,lockdown,9,128
137,long,9,678
138,tough,9,141
139,green,9,201
140,support,9,852
141,watch,9,61
142,ambassador,9,111
143,trip,9,118
144,hits,9,8
145,…,9,398
146,strikes,9,142
147,union,9,691
148,wife,9,206
149,victory,9,313
150,conservative,9,952
151,conservatives,8,184
152,fights,8,17
153,poland,8,143
154,corruption,8,74
